id,text,label
482,الله يعطيهم العافية خدمتهم خرافية,positive
7,المكان فاشلة والنظافة صفر,negative
135,الاكل ممتاز والخدمة احسن,positive
124,توصيل خايس وصل متاخر جدا,negative
182,اسعار مبالغ فيها والخدمة تعبانة,negative
441,زرت المكان امس والحمد لله كان ممتازة,positive
125,خدمة العملاء خايسة لا يردون,negative
243,الاكل طيب مررررة حلوة والسعر معقول,positive
325,تعامل تعبانة ما يحترمون الزبون,negative
263,تجربة روعة بكل المقاييس,positive
51,تعامل فاشل ما يحترمون الزبون,negative
413,زرت المكان امس والحمد لله كان طيب,positive
137,المكان فاشلة والاسعار غالية بزاف,negative
311,اسعار مبالغ فيها والخدمة سيئة,negative
395,افضل مكان في المنطقة الخدمة طيب,positive
378,الاكل طيب مررررة اسطوري والسعر معقول,positive
66,منتج حلو وانصح الجميع فيه,positive
153,اول مرة اجرب وطلع طيبة جدا,positive
450,الجودة قمة والسعر ممتاز,positive
478,تعامل راقي وخدمة رائع,positive
423,ما انصح احد يروح المكان تعبان,negative
396,للااسف االتعاامل فااشلة جداا,negative
112,اسوا تجربة الخدمة فاشل,negative
159,خدمة العملاء ردية لا يردون,negative
274,تعامل راقي وخدمة ممتازة,positive
364,اسوا تجربة الخدمة ماشي,negative
157,ما شاء الله الخدمة ممتازة والطاقم محترم جدا,positive
65,المنتج سيئة غير الصور,negative
38,والله المكان جميل ما تنلقى زيه في صنعاء,positive
253,ما انصح احد يروح المكان تعبانة,negative
180,االااكل طيب مررررة تماام واالسعر معقول,positive
305,افضل مكان في المنطقة الخدمة قمة,positive
139,جودة سيئة واالسعر مرتفع,negative
112,ما عندي كلام اقوله غير روعة,positive
312,خدمة العملاء خرافي والتوصيل سريع,positive
345,تعامل راقي وخدمة طيبة,positive
209,بصراحة المكان خرافي ما توقعت كذا,positive
97,خيبة امل كبيرة الخدمة تعبان,negative
282,ماا اانصح ااحد يروح االمكاان تعباان,negative
315,خدمة العملاء فاشلة لا يردون,negative
134,خدمة االعملااء طيب واالتوصيل سريع,positive
495,المنتج وصل متاخر والجودة ردي,negative
310,الاكل قمة والخدمة احسن,positive
335,المنتج تعبان ما يستاهل فلوسه,negative
451,الله يعطيهم العافية خدمتهم تمام,positive
141,المنتج وصل بسرعة والجودة رائعة,positive
380,المكان تعبان والنظافة صفر,negative
412,االااكل طيب مررررة طيب واالسعر معقول,positive
375,بصراحة المكان خرافي ما توقعت كذا,positive
177,المنتج وصل بسرعة والجودة ممتاز,positive
326,الاكل طيب مررررة جميلة والسعر معقول,positive
417,جودة خايسة والسعر مرتفع,negative
443,الاكل ردي والخدمة اسوا,negative
264,المنتج وصل بسرعة والجودة قمة,positive
139,والله المكان جميلة ما تنلقى زيه في صنعاء,positive
308,والله المكان رائعة ما تنلقى زيه في صنعاء,positive
255,تجربة طيب بكل المقاييس,positive
85,المكان تعبان والنظافة صفر,negative
488,االمنتج خرب بسرعة جودة تعباان,negative
436,تجربة اسطوري بكل المقاييس,positive
183,خدمة العملاء فاشلة لا يردون,negative
29,االااكل سيئة واالخدمة ااسواا,negative
56,تعامل راقي وخدمة قمة,positive
459,ما عندي كلام اقوله غير رائعة,positive
245,الله يعطيهم العافية خدمتهم اسطوري,positive
339,خدمة العملاء ردي لا يردون,negative
312,تجربة فاشل لن اعود مرة ثانية,negative
34,تعامل سيئة ما يحترمون الزبون,negative
75,الاكل طيب مررررة اسطوري والسعر معقول,positive
27,خدمة العملاء ردي لا يردون,negative
453,الاكل طيب مررررة رائع والسعر معقول,positive
405,تعامل خايس ما يحترمون الزبون,negative
199,االمنتج خرب بسرعة جودة ردي,negative
270,تعامل تعبانة ما يحترمون الزبون,negative
5,تجربة ردي لن اعود مرة ثانية,negative
178,اول مرة اجرب وطلع جميل جدا,positive
13,زرت المكان امس والحمد لله كان طيبة,positive
17,تعاامل رااقي جداااااا واالخدمة طيب,positive
101,جودة فاشلة والسعر مرتفع,negative
81,الاكل ردي والخدمة اسوا,negative
60,المنتج خرب بسرعة جودة ماشي,negative
83,المكان سيء والنظافة صفر,negative
11,زرت المكان امس والحمد لله كان طيبة,positive
54,المنتج وصل بسرعة والجودة طيبة,positive
293,والله الخدمة خايس جدا ما انصح,negative
178,ما انصح احد يروح المكان تعبان,negative
117,المنتج سيء ما يستاهل فلوسه,negative
76,المكان نظيف وجميل واسعاره مناسبة,positive
215,خدمة العملاء ردي لا يردون,negative
110,للاسف التعامل ماشي جدا,negative
293,المنتج وصل بسرعة والجودة حلو,positive
26,تعامل راقي وخدمة رائعة,positive
323,المنتج فاشلة ما يستاهل فلوسه,negative
279,خدمة العملاء جميل والتوصيل سريع,positive
224,افضل مكان في المنطقة الخدمة جميلة,positive
65,المكان نظيف ورائعة واسعاره مناسبة,positive
384,اول مرة اجرب وطلع خرافية جدا,positive
55,تعامل راقي جدااا والخدمة خرافي,positive
404,ما عندي كلام اقوله غير ممتاز,positive
482,تجربة مو حلو لن اعود مرة ثانية,negative
4,للاسف التعامل ماشي جدا,negative
142,اسوا تجربة الخدمة خايسة,negative
357,اول مرة اجرب وطلع خرافي جدا,positive
156,والله المكان طيب ما تنلقى زيه في صنعاء,positive
268,توصيل مو زين وصل متاخر جدا,negative
486,تعامل راقي جدااا والخدمة طيبة,positive
212,ما انصح احد يروح المكان ماشي,negative
190,المنتج خرافية نفس الوصف بالضبط,positive
348,منتج خراافي واانصح االجميع فيه,positive
225,ما عندي كلام اقوله غير طيبة,positive
481,اسوا تجربة الخدمة خايسة,negative
404,المكان تعبان والاسعار غالية بزاف,negative
174,االمكاان نظيف وممتاازة وااسعااره منااسبة,positive
427,افضل مكان في المنطقة الخدمة رائعة,positive
437,خدمة العملاء تعبانة لا يردون,negative
102,منتج خرافية وانصح الجميع فيه,positive
311,تعامل راقي وخدمة رائعة,positive
228,الله يعطيهم العافية خدمتهم حلو,positive
204,المنتج خايس غير الصور,negative
434,المكان نظيف واسطوري واسعاره مناسبة,positive
285,المنتج زفت ما يستاهل فلوسه,negative
254,المكان خايس والاسعار غالية بزاف,negative
390,منتج خرافي وانصح الجميع فيه,positive
136,تجربة خرافي بكل المقاييس,positive
388,المكان ردي والنظافة صفر,negative
154,ما انصح احد يروح المكان مو حلو,negative
205,خدمة العملاء روعة والتوصيل سريع,positive
42,جودة سيئة والسعر مرتفع,negative
119,المنتج فاشل غير الصور,negative
164,االمنتج وصل بسرعة واالجودة روعة,positive
143,المكان نظيف وحلوة واسعاره مناسبة,positive
353,تعامل راقي جدااا والخدمة خرافي,positive
244,ااسواا تجربة االخدمة سيء,negative
6,تعامل مو حلو ما يحترمون الزبون,negative
321,خيبة امل كبيرة الخدمة خايسة,negative
61,االمنتج سيئة غير االصور,negative
300,خدمة العملاء خرافية والتوصيل سريع,positive
235,بصراحة المكان حلوة ما توقعت كذا,positive
235,تجربة سيئة لن اعود مرة ثانية,negative
285,تجربة طيب بكل المقاييس,positive
439,اسعار مبالغ فيها والخدمة سيئة,negative
13,الاكل تعبان والخدمة اسوا,negative
93,الجودة روعة والسعر ممتاز,positive
496,بصراحة المكان رائع ما توقعت كذا,positive
22,اول مرة اجرب وطلع طيبة جدا,positive
328,خدمة العملاء طيب والتوصيل سريع,positive
480,المنتج خايس غير الصور,negative
259,المنتج وصل بسرعة والجودة خرافي,positive
216,تاخير كبير والتعامل فاشلة,negative
377,خيبة امل كبيرة الخدمة سيئة,negative
486,خدمة العملاء مو حلو لا يردون,negative
173,المنتج خرب بسرعة جودة خايسة,negative
1,تعامل راقي وخدمة طيب,positive
237,الاكل تمام والخدمة احسن,positive
458,المنتج فاشل ما يستاهل فلوسه,negative
473,تاخير كبير والتعامل زفت,negative
301,خدمة االعملااء ردي لاا يردون,negative
211,الاكل فاشل والخدمة اسوا,negative
96,لا انصح ابدا الخدمة سيئة,negative
338,المنتج ممتازة نفس الوصف بالضبط,positive
249,خدمة العملاء قمة والتوصيل سريع,positive
257,المنتج تعبانة ما يستاهل فلوسه,negative
381,الاكل زفت والخدمة اسوا,negative
468,توصيل ردية وصل متاخر جدا,negative
200,اسعار مبالغ فيها والخدمة خايس,negative
342,االمنتج وصل متااخر واالجودة تعباانة,negative
39,خدمة االعملااء فااشل لاا يردون,negative
292,االمنتج وصل متااخر واالجودة ردية,negative
260,توصيل خايس وصل متاخر جدا,negative
59,والله الخدمة خايسة جدا ما انصح,negative
434,المكان زفت والنظافة صفر,negative
347,الجودة جميلة والسعر ممتاز,positive
162,انصحكم فيه المكان ممتازة بزاف,positive
227,المنتج وصل بسرعة والجودة جميل,positive
303,والله المكان ممتازة ما تنلقى زيه في صنعاء,positive
288,تعامل راقي جدااا والخدمة خرافي,positive
218,جودة ردي والسعر مرتفع,negative
170,الله يعطيهم العافية خدمتهم جميلة,positive
273,والله الخدمة مو زين جدا ما انصح,negative
190,جودة ردي واالسعر مرتفع,negative
100,تاخير كبير والتعامل فاشل,negative
271,المنتج وصل بسرعة والجودة رائعة,positive
355,المنتج وصل متاخر والجودة مو زين,negative
164,المنتج سيء غير الصور,negative
98,تاخير كبير والتعامل تعبانة,negative
374,بصراحة المكان طيب ما توقعت كذا,positive
265,جودة خايسة والسعر مرتفع,negative
428,ما انصح احد يروح المكان فاشل,negative
331,الاكل تعبانة والخدمة اسوا,negative
24,توصيل فاشلة وصل متاخر جدا,negative
376,ماا عندي كلاام ااقوله غير خراافي,positive
493,ما انصح احد يروح المكان فاشلة,negative
401,الاكل حلوة والخدمة احسن,positive
490,خدمة العملاء اسطوري والتوصيل سريع,positive
138,توصيل مو حلو وصل متاخر جدا,negative
457,والله المكان ممتاز ما تنلقى زيه في صنعاء,positive
430,انصحكم فيه المكان طيب بزاف,positive
35,ماا اانصح ااحد يروح االمكاان زفت,negative
28,ماا شااء االله االخدمة خراافية واالطااقم محترم جداا,positive
2,الاكل ردي والخدمة اسوا,negative
369,افضل مكان في المنطقة الخدمة ممتازة,positive
424,االمنتج خرب بسرعة جودة خاايس,negative
453,الاكل فاشلة والخدمة اسوا,negative
454,اسعار مبالغ فيها والخدمة فاشل,negative
12,المنتج وصل متاخر والجودة مو حلو,negative
116,الجودة حلوة والسعر ممتاز,positive
261,للاسف التعامل خايس جدا,negative
320,زرت المكان امس والحمد لله كان تمام,positive
126,الاكل تعبانة والخدمة اسوا,negative
391,ااسعاار مباالغ فيهاا واالخدمة خاايسة,negative
258,تعامل راقي وخدمة خرافي,positive
280,الله يعطيهم العافية خدمتهم خرافي,positive
208,المكان زفت والاسعار غالية بزاف,negative
260,منتج ممتازة وانصح الجميع فيه,positive
474,تجربة خرافية بكل المقاييس,positive
318,ما شاء الله الخدمة جميل والطاقم محترم جدا,positive
371,تعاامل رااقي وخدمة ممتاازة,positive
94,جودة مو زين والسعر مرتفع,negative
200,المنتج وصل بسرعة والجودة تمام,positive
19,خيبة امل كبيرة الخدمة تعبانة,negative
460,المكان نظيف وروعة واسعاره مناسبة,positive
449,المكان مو حلو والنظافة صفر,negative
51,بصراحة المكان جميل ما توقعت كذا,positive
323,تجربة تمام بكل المقاييس,positive
360,المكان نظيف وتمام واسعاره مناسبة,positive
131,الله يعطيهم العافية خدمتهم اسطوري,positive
8,المكان نظيف وممتازة واسعاره مناسبة,positive
425,جودة مو زين والسعر مرتفع,negative
229,خدمة العملاء طيب والتوصيل سريع,positive
131,االمكاان تعباانة واالنظاافة صفر,negative
262,جودة مو حلو والسعر مرتفع,negative
129,تعاامل رااقي وخدمة ممتاازة,positive
358,والله الخدمة سيء جدا ما انصح,negative
431,افضل مكان في المنطقة الخدمة رائع,positive
269,والله المكان خرافي ما تنلقى زيه في صنعاء,positive
129,المكان سيء والنظافة صفر,negative
1,لا انصح ابدا الخدمة ماشي,negative
135,المنتج خرب بسرعة جودة تعبان,negative
233,زرت المكان امس والحمد لله كان خرافي,positive
156,خيبة امل كبيرة الخدمة مو زين,negative
9,االمنتج فااشلة غير االصور,negative
389,الجودة حلوة والسعر ممتاز,positive
145,اول مرة اجرب وطلع حلو جدا,positive
191,تعامل راقي جدااا والخدمة حلوة,positive
40,المنتج خرب بسرعة جودة ردية,negative
10,جودة مو حلو والسعر مرتفع,negative
166,المنتج وصل متاخر والجودة خايسة,negative
107,والله الخدمة ماشي جدا ما انصح,negative
97,ما عندي كلام اقوله غير طيب,positive
399,المنتج وصل بسرعة والجودة اسطوري,positive
63,تعامل سيء ما يحترمون الزبون,negative
328,المكان مو حلو والنظافة صفر,negative
450,المنتج وصل متاخر والجودة خايسة,negative
448,اسعار مبالغ فيها والخدمة تعبان,negative
351,للاسف التعامل زفت جدا,negative
368,ماا عندي كلاام ااقوله غير حلو,positive
35,والله المكان تمام ما تنلقى زيه في صنعاء,positive
441,المنتج فاشلة غير الصور,negative
483,واالله االمكاان جميلة ماا تنلقى زيه في صنعااء,positive
498,تعامل راقي جدااا والخدمة خرافي,positive
289,تعاامل رااقي وخدمة طيبة,positive
278,االمنتج ااسطوري نفس االوصف باالضبط,positive
379,خدمة العملاء ردي لا يردون,negative
124,الله يعطيهم العافية خدمتهم ممتاز,positive
317,ماا شااء االله االخدمة طيب واالطااقم محترم جداا,positive
207,المنتج وصل بسرعة والجودة رائعة,positive
44,الله يعطيهم العافية خدمتهم تمام,positive
15,المنتج خرب بسرعة جودة ماشي,negative
250,خدمة العملاء اسطوري والتوصيل سريع,positive
333,المكان ردي والنظافة صفر,negative
58,خدمة العملاء ردي لا يردون,negative
202,الاكل طيب مررررة رائعة والسعر معقول,positive
179,المنتج وصل بسرعة والجودة حلو,positive
88,المكان خايس والاسعار غالية بزاف,negative
458,الجودة رائع والسعر ممتاز,positive
382,تعامل راقي وخدمة رائعة,positive
74,افضل مكان في المنطقة الخدمة اسطوري,positive
239,اسعار مبالغ فيها والخدمة خايس,negative
40,ماا شااء االله االخدمة راائع واالطااقم محترم جداا,positive
409,الله يعطيهم العافية خدمتهم رائعة,positive
95,افضل مكان في المنطقة الخدمة حلوة,positive
365,تعامل فاشل ما يحترمون الزبون,negative
206,المكان سيئة والنظافة صفر,negative
303,المكان زفت والاسعار غالية بزاف,negative
397,تعامل راقي وخدمة تمام,positive
220,ما انصح احد يروح المكان سيء,negative
123,للااسف االتعاامل فااشلة جداا,negative
326,خيبة امل كبيرة الخدمة خايسة,negative
32,الاكل مو زين والخدمة اسوا,negative
184,تجربة خراافي بكل االمقااييس,positive
78,المكان ردية والنظافة صفر,negative
263,المنتج فاشلة غير الصور,negative
197,اافضل مكاان في االمنطقة االخدمة ااسطوري,positive
463,والله المكان خرافية ما تنلقى زيه في صنعاء,positive
329,جودة خاايسة واالسعر مرتفع,negative
316,الله يعطيهم العافية خدمتهم خرافية,positive
9,الاكل ممتازة والخدمة احسن,positive
62,اول مرة اجرب وطلع جميلة جدا,positive
171,للااسف االتعاامل مااشي جداا,negative
147,خدمة العملاء طيب والتوصيل سريع,positive
452,تااخير كبير واالتعاامل مو زين,negative
428,واالله االمكاان قمة ماا تنلقى زيه في صنعااء,positive
172,الجودة طيب والسعر ممتاز,positive
47,الاكل مو زين والخدمة اسوا,negative
84,االمنتج ممتااز نفس االوصف باالضبط,positive
385,زرت االمكاان اامس واالحمد لله كاان راائع,positive
405,والله المكان ممتازة ما تنلقى زيه في صنعاء,positive
261,والله المكان رائعة ما تنلقى زيه في صنعاء,positive
151,الاكل طيب والخدمة احسن,positive
89,اول مرة اجرب وطلع رائع جدا,positive
315,تعاامل رااقي جداااااا واالخدمة ممتاازة,positive
4,زرت المكان امس والحمد لله كان ممتازة,positive
414,افضل مكان في المنطقة الخدمة اسطوري,positive
361,الاكل ردية والخدمة اسوا,negative
338,اسوا تجربة الخدمة سيئة,negative
228,جودة سيء والسعر مرتفع,negative
367,والله المكان خرافي ما تنلقى زيه في صنعاء,positive
276,المنتج وصل بسرعة والجودة حلو,positive
11,اسعار مبالغ فيها والخدمة ردي,negative
367,االمنتج وصل متااخر واالجودة خاايس,negative
398,منتج طيبة وانصح الجميع فيه,positive
102,تاخير كبير والتعامل خايس,negative
427,ما انصح احد يروح المكان تعبانة,negative
467,المكان زفت والاسعار غالية بزاف,negative
415,تعامل راقي وخدمة خرافية,positive
41,تجربة فاشل لن اعود مرة ثانية,negative
436,تاخير كبير والتعامل فاشلة,negative
67,المكان فاشل والاسعار غالية بزاف,negative
297,اول مرة اجرب وطلع خرافية جدا,positive
223,المنتج مو حلو غير الصور,negative
90,بصراحة المكان رائع ما توقعت كذا,positive
54,الاكل مو حلو والخدمة اسوا,negative
133,اول مرة اجرب وطلع تمام جدا,positive
227,لا انصح ابدا الخدمة ردية,negative
268,خدمة العملاء اسطوري والتوصيل سريع,positive
204,تعامل راقي جدااا والخدمة حلوة,positive
161,المنتج خرب بسرعة جودة خايس,negative
21,تعامل فاشل ما يحترمون الزبون,negative
15,الجودة جميل والسعر ممتاز,positive
50,المنتج وصل متاخر والجودة سيء,negative
330,المنتج زفت غير الصور,negative
234,والله الخدمة سيئة جدا ما انصح,negative
107,انصحكم فيه المكان خرافي بزاف,positive
440,والله الخدمة ماشي جدا ما انصح,negative
145,خدمة العملاء زفت لا يردون,negative
421,المكان نظيف ورائع واسعاره مناسبة,positive
206,خدمة العملاء طيبة والتوصيل سريع,positive
114,تجربة تعباانة لن ااعود مرة ثاانية,negative
80,للاسف التعامل سيئة جدا,negative
66,المنتج وصل متاخر والجودة خايسة,negative
337,الجودة ممتازة والسعر ممتاز,positive
403,بصراحة المكان روعة ما توقعت كذا,positive
34,تعامل راقي جدااا والخدمة جميل,positive
219,جودة فاشل والسعر مرتفع,negative
240,المنتج خرب بسرعة جودة ماشي,negative
438,تعاامل رااقي وخدمة راائع,positive
88,االله يعطيهم االعاافية خدمتهم قمة,positive
47,ااول مرة ااجرب وطلع راائع جداا,positive
460,المنتج وصل متاخر والجودة سيء,negative
446,الله يعطيهم العافية خدمتهم ممتاز,positive
176,توصيل مو زين وصل متاخر جدا,negative
197,خدمة العملاء خايسة لا يردون,negative
229,المنتج وصل متاخر والجودة مو زين,negative
360,اسوا تجربة الخدمة فاشل,negative
76,المكان زفت والنظافة صفر,negative
230,خيبة امل كبيرة الخدمة زفت,negative
179,المكان خايسة والنظافة صفر,negative
416,المنتج وصل بسرعة والجودة جميلة,positive
412,المنتج خرب بسرعة جودة مو حلو,negative
349,زرت المكان امس والحمد لله كان حلو,positive
94,الاكل طيب مررررة تمام والسعر معقول,positive
70,تعامل راقي وخدمة خرافية,positive
117,بصراحة المكان ممتاز ما توقعت كذا,positive
92,ااسعاار مباالغ فيهاا واالخدمة تعباان,negative
322,ما انصح احد يروح المكان سيئة,negative
355,الله يعطيهم العافية خدمتهم قمة,positive
415,تجربة ردي لن اعود مرة ثانية,negative
14,خيبة امل كبيرة الخدمة تعبانة,negative
36,اسوا تجربة الخدمة مو زين,negative
30,توصيل تعبانة وصل متاخر جدا,negative
298,تاخير كبير والتعامل سيء,negative
454,تجربة ممتاز بكل المقاييس,positive
324,بصراحة المكان طيبة ما توقعت كذا,positive
266,تعامل راقي جدااا والخدمة قمة,positive
410,زرت المكان امس والحمد لله كان حلو,positive
435,المنتج وصل متاخر والجودة ماشي,negative
370,اول مرة اجرب وطلع تمام جدا,positive
110,المنتج ممتازة نفس الوصف بالضبط,positive
491,تاخير كبير والتعامل سيئة,negative
433,خدمة االعملااء روعة واالتوصيل سريع,positive
14,المكان نظيف وجميلة واسعاره مناسبة,positive
354,اافضل مكاان في االمنطقة االخدمة قمة,positive
236,انصحكم فيه المكان رائعة بزاف,positive
120,خيبة امل كبيرة الخدمة تعبان,negative
411,المنتج حلوة نفس الوصف بالضبط,positive
127,المكان نظيف وطيبة واسعاره مناسبة,positive
291,المنتج وصل بسرعة والجودة ممتازة,positive
192,منتج روعة وانصح الجميع فيه,positive
27,تعامل راقي جدااا والخدمة اسطوري,positive
277,خدمة العملاء ردية لا يردون,negative
79,انصحكم فيه المكان حلو بزاف,positive
348,المكان ردي والنظافة صفر,negative
62,والله الخدمة سيئة جدا ما انصح,negative
349,توصيل سيء وصل متااخر جداا,negative
334,والله الخدمة سيء جدا ما انصح,negative
148,المكان خايسة والاسعار غالية بزاف,negative
198,خدمة العملاء ردي لا يردون,negative
380,بصراحة المكان ممتاز ما توقعت كذا,positive
484,المكان خايسة والنظافة صفر,negative
181,تجربة تماام بكل االمقااييس,positive
213,تعامل راقي وخدمة طيب,positive
470,الاكل سيء والخدمة اسوا,negative
379,بصراحة المكان طيب ما توقعت كذا,positive
57,خدمة العملاء ممتازة والتوصيل سريع,positive
105,اول مرة اجرب وطلع خرافي جدا,positive
472,بصراحة المكان رائع ما توقعت كذا,positive
296,الجودة رائعة والسعر ممتاز,positive
490,االمنتج وصل متااخر واالجودة خاايسة,negative
217,الاكل ردي والخدمة اسوا,negative
203,خدمة العملاء رائع والتوصيل سريع,positive
98,بصراحة المكان جميلة ما توقعت كذا,positive
314,خيبة امل كبيرة الخدمة مو حلو,negative
378,تااخير كبير واالتعاامل سيئة,negative
284,افضل مكان في المنطقة الخدمة اسطوري,positive
366,الاكل رائع والخدمة احسن,positive
317,االمنتج مو حلو ماا يستااهل فلوسه,negative
196,لا انصح ابدا الخدمة فاشلة,negative
394,الاكل طيب مررررة رائع والسعر معقول,positive
111,تعامل راقي جدااا والخدمة حلو,positive
466,المنتج وصل متاخر والجودة مو زين,negative
414,اسوا تجربة الخدمة ردي,negative
103,اسوا تجربة الخدمة تعبان,negative
446,المكان فاشل والاسعار غالية بزاف,negative
224,المنتج خرب بسرعة جودة مو زين,negative
426,المنتج فاشل غير الصور,negative
267,والله المكان ممتاز ما تنلقى زيه في صنعاء,positive
163,المنتج تمام نفس الوصف بالضبط,positive
154,ااول مرة ااجرب وطلع قمة جداا,positive
99,اانصحكم فيه االمكاان جميلة بزااف,positive
106,خدمة العملاء حلو والتوصيل سريع,positive
202,المنتج خايس ما يستاهل فلوسه,negative
248,والله الخدمة زفت جدا ما انصح,negative
226,الاكل طيب مررررة جميلة والسعر معقول,positive
393,الاكل رائع والخدمة احسن,positive
174,خدمة العملاء ماشي لا يردون,negative
342,الجودة رائعة والسعر ممتاز,positive
309,خدمة العملاء زفت لا يردون,negative
365,بصراحة المكان حلو ما توقعت كذا,positive
61,الاكل ممتاز والخدمة احسن,positive
374,المكان خايس والاسعار غالية بزاف,negative
122,تجربة جميلة بكل االمقااييس,positive
86,المنتج تعبان ما يستاهل فلوسه,negative
232,جودة فاشلة والسعر مرتفع,negative
132,ماا شااء االله االخدمة جميلة واالطااقم محترم جداا,positive
247,للااسف االتعاامل فااشلة جداا,negative
383,المنتج حلو نفس الوصف بالضبط,positive
424,اول مرة اجرب وطلع روعة جدا,positive
